May
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
71	53	35
64	49	34
71	53	35
73	56	39
76	59	41
77	59	41
79	61	42
75	59	42
87	66	44
85	63	41
83	64	45
75	60	44
73	61	48
60	55	50
61	55	49
62	58	54
61	56	50
67	59	50
67	58	49
69	59	49
63	56	49
70	60	49
76	65	53
67	58	48
59	52	46
65	56	47
62	58	53
68	61	54
76	61	46
77	62	46
80	65	50
Max	Avg	Min
38	33	27
41	37	31
47	42	34
51	46	38
53	47	40
55	48	40
50	45	40
53	48	40
56	47	39
50	44	37
55	49	41
55	48	42
46	44	43
54	49	44
55	51	47
53	51	48
51	47	43
54	51	48
51	48	45
48	45	38
51	48	45
53	50	47
59	52	48
51	46	42
50	46	43
54	49	44
53	50	48
54	50	48
56	50	45
58	52	44
62	55	48
Max	Avg	Min
85	-	22
89	-	40
92	-	40
92	-	40
92	-	41
86	-	43
89	-	31
92	-	41
92	-	20
76	-	26
89	-	34
93	-	46
86	-	35
89	-	71
96	-	78
93	-	69
89	-	51
93	-	63
100	-	45
86	-	34
93	-	56
100	-	53
93	-	53
86	-	48
90	-	47
93	-	67
89	-	72
83	-	58
93	-	46
93	-	46
93	-	49
Max	Avg	Min
17	-	0
15	-	0
16	-	0
15	-	0
13	-	0
16	-	0
18	-	0
18	-	0
25	-	0
13	-	0
15	-	4
16	-	0
14	-	0
15	-	0
13	-	0
16	-	0
18	-	0
24	-	0
16	-	0
21	-	4
18	-	0
15	-	0
13	-	0
23	-	0
13	-	0
13	-	0
15	-	5
10	-	0
12	-	0
17	-	0
18	-	0
Max	Avg	Min
30.15	-	30.04
30.22	-	30.12
30.15	-	29.98
30.01	-	29.85
29.91	-	29.81
29.98	-	29.87
30.18	-	29.99
30.22	-	29.98
29.98	-	29.81
29.92	-	29.81
29.96	-	29.87
30.02	-	29.91
30.04	-	29.92
30.05	-	29.94
29.94	-	29.52
29.83	-	29.49
30.01	-	29.84
29.94	-	29.61
29.85	-	29.7
29.88	-	29.69
29.9	-	29.63
30.05	-	29.9
30.05	-	29.92
30.07	-	30.01
30.06	-	29.84
29.96	-	29.81
30.14	-	29.96
30.16	-	30.06
30.09	-	29.92
30.03	-	29.94
30.09	-	29.94
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.33	-
-	0.13	-
-	0.19	-
-	0.02	-
-	0.13	-
-	0.01	-
-	0.00	-
-	0.46	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.31	-
-	0.01	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
