Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max	Avg	Min
57	54	50
62	58	53
61	56	51
61	55	48
58	54	50
57	52	46
55	53	50
58	54	50
58	50	42
54	50	46
52	50	47
61	53	45
52	47	42
54	47	39
50	44	37
61	53	45
68	59	49
79	62	45
71	59	46
61	56	50
63	56	48
72	57	41
69	60	51
65	56	47
70	56	41
68	54	39
63	51	39
65	50	34
68	52	36
69	54	38
Max	Avg	Min
53	50	47
53	52	49
51	49	45
52	49	46
49	46	41
52	47	41
53	50	47
54	49	45
45	42	37
47	44	42
48	45	43
47	44	40
47	44	40
42	39	35
45	41	35
49	45	43
53	47	45
59	51	43
56	51	44
50	46	41
46	43	41
54	47	38
57	50	46
46	42	38
52	43	37
43	39	27
41	37	33
40	35	31
39	34	30
39	33	24
Max	Avg	Min
93	-	83
100	-	78
93	-	60
93	-	72
89	-	59
93	-	80
93	-	86
93	-	86
86	-	47
86	-	66
86	-	77
93	-	51
92	-	71
93	-	50
93	-	77
93	-	57
86	-	52
93	-	45
93	-	61
96	-	55
80	-	52
93	-	44
89	-	63
86	-	46
83	-	44
89	-	22
85	-	36
89	-	34
76	-	26
79	-	20
Max	Avg	Min
10	-	0
12	-	0
17	-	0
15	-	0
24	-	4
25	-	0
18	-	0
15	-	0
22	-	0
16	-	4
20	-	6
12	-	0
15	-	4
13	-	4
9	-	0
17	-	0
8	-	0
10	-	0
17	-	0
14	-	4
12	-	0
9	-	0
12	-	0
22	-	6
14	-	0
17	-	0
21	-	0
25	-	4
23	-	5
18	-	0
Max	Avg	Min
30.06	-	29.84
29.86	-	29.78
30.03	-	29.86
30.01	-	29.82
29.9	-	29.67
29.92	-	29.72
30.07	-	29.81
30.13	-	30
30.49	-	30.14
30.52	-	30.36
30.35	-	30.07
30.13	-	30.07
30.1	-	30.01
30.08	-	29.95
29.96	-	29.71
30.25	-	29.82
30.35	-	30.25
30.3	-	30.05
30.06	-	29.93
30.23	-	29.95
30.35	-	30.22
30.35	-	30.24
30.25	-	30.17
30.32	-	30.14
30.14	-	30.01
30.23	-	30.09
30.26	-	30.15
30.25	-	30.03
30.04	-	29.93
30.1	-	29.95
Max	Avg	Min
-	0.34	-
-	0.52	-
-	0.06	-
-	0.43	-
-	0.33	-
-	0.87	-
-	1.68	-
-	0.75	-
-	0.02	-
-	0.02	-
-	0.05	-
-	0.00	-
-	0.11	-
-	0.00	-
-	0.21	-
-	0.01	-
-	0.00	-
-	0.00	-
-	0.02	-
-	0.14	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
