Dec
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
44	42	39
48	44	39
38	34	30
48	37	25
44	35	26
43	34	25
38	31	23
41	38	34
41	39	36
53	45	37
51	47	42
51	44	37
55	45	34
56	45	33
50	43	36
52	47	42
52	44	36
59	55	50
57	50	42
55	49	42
50	42	33
46	38	30
52	48	44
50	48	46
47	43	39
47	41	35
52	44	35
48	44	40
52	49	45
50	46	41
44	38	32
Max	Avg	Min
41	38	36
40	38	33
36	32	28
35	29	23
33	27	23
30	25	21
31	26	19
38	35	32
40	37	35
45	39	35
49	43	38
43	40	35
39	36	33
42	37	31
41	38	35
48	42	35
44	40	35
52	47	43
48	44	41
50	44	34
41	34	29
42	32	28
47	45	42
46	44	40
40	38	34
43	38	34
41	38	35
40	38	36
48	41	38
48	40	34
36	33	27
Max	Avg	Min
92	-	82
93	-	71
100	-	85
92	-	60
92	-	62
81	-	57
88	-	64
92	-	85
92	-	85
100	-	71
89	-	76
92	-	71
92	-	54
96	-	59
92	-	66
96	-	83
96	-	71
89	-	71
96	-	67
96	-	77
96	-	66
100	-	65
93	-	77
93	-	86
93	-	65
92	-	82
100	-	56
92	-	66
83	-	66
96	-	66
100	-	70
Max	Avg	Min
15	-	0
14	-	4
12	-	0
15	-	0
16	-	0
10	-	0
7	-	0
9	-	0
13	-	0
12	-	0
25	-	8
21	-	0
15	-	0
35	-	4
16	-	0
15	-	0
18	-	4
30	-	4
12	-	0
20	-	0
8	-	0
15	-	5
18	-	0
18	-	0
9	-	0
15	-	0
9	-	0
12	-	5
21	-	4
16	-	0
15	-	0
Max	Avg	Min
30.04	-	29.8
30.24	-	30.05
30.3	-	30.22
30.22	-	30.07
30.1	-	30.04
30.12	-	30.05
30.27	-	30.1
30.36	-	30.24
30.26	-	30.14
30.36	-	30.25
30.27	-	29.9
30.43	-	30.21
30.28	-	29.93
30.11	-	29.62
30.11	-	29.81
29.98	-	29.66
30.06	-	29.87
30.29	-	29.76
30.33	-	29.98
30.17	-	29.83
30.28	-	30.17
30.27	-	30.01
30.11	-	30.04
30.09	-	29.83
30.27	-	30.09
30.25	-	30.15
30.44	-	30.27
30.46	-	30.39
30.41	-	30.17
30.32	-	30.17
30.43	-	30.32
Max	Avg	Min
-	0.47	-
-	0.02	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.05	-
-	0.44	-
-	0.05	-
-	0.27	-
-	0.14	-
-	0.00	-
-	0.06	-
-	0.00	-
-	0.28	-
-	0.05	-
-	1.52	-
-	0.12	-
-	0.29	-
-	0.00	-
-	0.00	-
-	0.46	-
-	0.17	-
-	0.00	-
-	0.10	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.01	-
-	0.00	-

