Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
54	47	40
49	41	33
51	45	39
47	44	40
44	39	33
43	38	33
49	45	40
54	50	46
60	55	50
62	55	47
57	49	41
64	53	42
61	56	51
61	55	49
55	51	46
55	46	37
57	46	35
55	47	39
56	45	33
48	45	41
65	56	46
54	49	44
60	49	37
53	50	46
53	49	44
53	48	43
54	49	43
62	54	45
54	51	48
55	48	41
58	46	33
Max	Avg	Min
41	38	36
42	38	34
45	41	37
41	39	34
37	34	32
39	36	33
48	43	38
53	49	47
58	52	47
49	47	44
53	46	41
52	48	43
57	51	45
55	53	50
53	51	44
45	40	36
52	41	34
52	46	37
41	37	32
47	42	36
50	46	43
47	43	39
47	41	36
48	46	45
45	43	40
50	45	40
45	43	39
46	44	41
52	49	44
44	42	38
45	39	33
Max	Avg	Min
93	-	54
100	-	71
100	-	63
96	-	71
100	-	70
100	-	89
96	-	86
100	-	89
100	-	86
93	-	56
100	-	83
100	-	64
97	-	69
100	-	72
100	-	86
100	-	50
100	-	80
96	-	77
100	-	54
93	-	65
100	-	48
93	-	63
100	-	47
100	-	77
100	-	63
100	-	83
93	-	63
92	-	55
96	-	83
96	-	59
100	-	57
Max	Avg	Min
10	-	0
13	-	0
25	-	5
20	-	0
24	-	5
22	-	6
26	-	7
10	-	0
16	-	5
18	-	0
21	-	4
12	-	0
12	-	5
13	-	0
18	-	0
8	-	0
13	-	0
17	-	5
18	-	4
13	-	0
21	-	0
22	-	5
26	-	0
21	-	0
16	-	0
20	-	5
18	-	5
18	-	0
21	-	5
20	-	0
14	-	0
Max	Avg	Min
30.53	-	30.45
30.45	-	30.3
30.29	-	29.86
29.88	-	29.58
29.88	-	29.63
30.15	-	29.87
30.16	-	29.97
30.22	-	30.12
30.15	-	30.06
30.31	-	30.14
30.29	-	30.06
30.32	-	30.21
30.22	-	30.02
30.04	-	29.95
30.17	-	29.89
30.33	-	30.19
30.17	-	29.8
30.19	-	29.77
30.22	-	30.01
30	-	29.78
29.8	-	29.68
30.15	-	29.78
30.17	-	29.88
30.14	-	29.84
30.18	-	30.04
30.03	-	29.8
30.38	-	29.98
30.39	-	30.2
30.2	-	30.05
30.38	-	30.11
30.4	-	30.25
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.05	-
-	0.10	-
-	0.09	-
-	0.42	-
-	0.36	-
-	0.21	-
-	0.38	-
-	0.00	-
-	0.08	-
-	0.00	-
-	0.03	-
-	0.00	-
-	0.37	-
-	0.00	-
-	0.10	-
-	0.35	-
-	0.00	-
-	0.18	-
-	0.06	-
-	0.05	-
-	0.18	-
-	0.69	-
-	0.00	-
-	0.25	-
-	0.30	-
-	0.01	-
-	0.31	-
-	0.01	-
-	0.00	-
