Aug
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
98	75	52
102	79	56
102	81	59
95	78	60
89	70	51
86	70	53
91	76	60
94	75	55
95	77	58
91	76	60
80	69	58
76	68	59
69	63	57
75	61	46
81	62	43
87	68	48
86	68	49
87	69	50
81	68	55
85	68	51
85	70	54
87	71	55
81	67	52
77	67	56
81	64	46
89	68	46
91	71	50
97	75	52
87	73	58
81	66	50
86	67	48
Max	Avg	Min
53	48	41
60	53	45
61	55	48
58	55	50
57	53	41
65	58	53
64	61	59
64	59	54
64	59	51
66	59	56
61	58	56
59	56	55
62	59	55
55	48	38
53	48	41
56	50	40
58	52	34
56	52	48
56	50	40
55	50	46
59	56	53
61	57	53
61	56	52
56	52	45
51	46	39
50	47	43
54	50	43
57	53	48
57	53	43
56	54	48
59	52	44
Max	Avg	Min
83	-	15
78	-	15
90	-	17
84	-	23
100	-	22
100	-	43
100	-	38
100	-	26
100	-	24
90	-	32
93	-	49
90	-	54
100	-	76
100	-	25
100	-	25
100	-	20
100	-	16
96	-	26
100	-	23
89	-	27
93	-	34
93	-	40
100	-	49
87	-	38
93	-	23
89	-	22
86	-	24
93	-	22
86	-	23
100	-	39
96	-	29
Max	Avg	Min
21	-	0
16	-	0
12	-	0
17	-	7
16	-	0
14	-	0
13	-	0
16	-	0
15	-	0
15	-	0
21	-	7
15	-	0
15	-	0
16	-	0
17	-	0
16	-	0
16	-	0
16	-	0
23	-	5
25	-	4
17	-	0
14	-	0
9	-	0
18	-	0
20	-	0
20	-	0
10	-	0
7	-	0
17	-	5
10	-	0
20	-	0
Max	Avg	Min
30.09	-	29.92
29.96	-	29.82
29.96	-	29.83
29.94	-	29.84
29.96	-	29.86
29.97	-	29.88
29.99	-	29.89
29.99	-	29.84
29.98	-	29.86
29.98	-	29.86
29.99	-	29.91
30.01	-	29.96
30.06	-	30
30.03	-	29.89
30	-	29.9
30.12	-	30.01
30.19	-	30.08
30.17	-	30.06
30.2	-	30.06
30.14	-	30.01
30.05	-	29.93
30.07	-	29.98
30.05	-	29.93
30.09	-	29.97
30.06	-	29.97
30.1	-	29.97
30.05	-	29.93
29.94	-	29.8
29.96	-	29.86
30.06	-	29.97
30.14	-	30.03
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.14	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
