Jun
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max	Avg	Min
85	67	49
78	68	57
85	68	50
95	76	57
94	79	63
91	74	56
89	72	54
73	64	55
66	56	46
67	56	45
71	59	46
79	62	44
68	57	46
64	55	45
66	54	41
66	56	45
73	60	47
70	59	48
76	60	43
79	63	47
77	59	40
82	63	43
71	62	53
74	61	48
81	64	46
89	69	49
89	73	56
86	68	50
83	66	49
82	65	48
Max	Avg	Min
55	50	45
58	54	50
63	55	48
67	61	54
66	61	58
61	55	46
56	51	49
54	51	49
52	49	44
51	45	43
48	45	42
49	46	42
50	46	43
49	44	38
48	43	38
48	44	39
50	47	41
53	46	41
50	45	41
52	47	41
49	45	39
51	47	42
58	50	44
50	47	42
51	47	43
56	51	46
59	54	52
52	49	43
55	51	47
54	49	43
Max	Avg	Min
83	-	34
93	-	46
93	-	44
93	-	34
84	-	37
93	-	24
83	-	24
80	-	44
93	-	52
86	-	48
93	-	37
92	-	29
93	-	49
86	-	42
93	-	37
93	-	40
93	-	36
89	-	36
100	-	33
86	-	28
93	-	31
93	-	32
77	-	53
93	-	33
93	-	26
86	-	28
86	-	31
93	-	23
89	-	34
86	-	26
Max	Avg	Min
12	-	0
14	-	0
18	-	0
16	-	0
14	-	0
22	-	0
26	-	0
16	-	4
15	-	0
23	-	4
18	-	0
16	-	0
21	-	0
21	-	0
20	-	0
16	-	0
23	-	0
16	-	5
20	-	0
20	-	0
20	-	0
17	-	0
18	-	5
15	-	0
22	-	0
14	-	0
16	-	0
17	-	0
18	-	0
22	-	0
Max	Avg	Min
30.01	-	29.91
30.18	-	30.03
30.21	-	30.04
30.03	-	29.81
29.93	-	29.83
29.92	-	29.76
29.86	-	29.72
29.99	-	29.87
30.01	-	29.93
30.23	-	30.01
30.29	-	30.22
30.26	-	30.12
30.14	-	30.07
30.09	-	30.03
30.02	-	29.93
30.13	-	30.02
30.11	-	30.03
30.36	-	30.05
30.36	-	30.12
30.28	-	30.12
30.32	-	30.1
30.13	-	29.98
30.2	-	30.08
30.3	-	30.22
30.27	-	30.09
30.13	-	30.02
30.19	-	30.09
30.21	-	30.08
30.21	-	30.1
30.24	-	30.08
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.01	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.41	-
-	0.13	-
-	0.01	-
-	0.01	-
-	0.19	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.02	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
