Aug
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
86	68	50
80	63	45
83	67	51
94	75	56
87	69	50
81	62	42
77	63	48
74	61	48
78	65	51
83	67	51
90	71	51
97	75	53
97	77	56
94	75	56
91	71	50
90	71	51
87	68	49
97	74	51
104	81	57
100	80	59
87	70	52
80	65	49
84	67	49
93	71	49
97	75	53
98	76	54
86	70	54
87	70	52
81	67	52
74	64	54
76	64	51
Max	Avg	Min
52	49	44
51	47	45
53	49	47
55	52	46
54	48	42
49	46	41
51	48	44
58	52	47
55	52	50
56	52	49
57	53	50
59	55	50
58	55	51
54	50	37
54	51	47
55	52	48
52	47	32
57	53	48
59	51	42
56	51	41
53	51	48
49	45	37
50	46	42
50	46	40
47	43	37
51	43	30
56	52	49
56	53	49
52	50	47
52	50	47
57	52	47
Max	Avg	Min
89	-	25
89	-	30
89	-	31
80	-	20
89	-	24
89	-	28
86	-	38
89	-	46
96	-	37
93	-	33
96	-	26
86	-	21
86	-	22
80	-	14
83	-	24
83	-	27
83	-	15
89	-	24
87	-	13
72	-	15
83	-	30
86	-	23
83	-	23
80	-	16
66	-	14
67	-	10
83	-	32
93	-	37
89	-	33
80	-	46
89	-	53
Max	Avg	Min
15	-	0
18	-	0
26	-	0
18	-	0
20	-	0
17	-	0
13	-	0
17	-	0
14	-	0
20	-	0
15	-	0
12	-	0
16	-	0
22	-	0
20	-	0
22	-	0
17	-	0
17	-	0
22	-	0
17	-	4
16	-	4
24	-	8
15	-	0
23	-	0
28	-	0
15	-	0
14	-	4
16	-	0
22	-	5
13	-	0
15	-	0
Max	Avg	Min
30.09	-	29.98
30.24	-	30.12
30.26	-	30.03
30.02	-	29.81
29.98	-	29.88
30.02	-	29.86
30	-	29.94
30.03	-	29.98
30.08	-	30
30.07	-	29.99
30.09	-	29.98
30.05	-	29.94
30.01	-	29.9
30.02	-	29.91
30.09	-	29.97
30.1	-	29.99
30.11	-	29.94
29.97	-	29.8
29.9	-	29.79
29.93	-	29.81
29.99	-	29.87
30.09	-	30
30.16	-	30.08
30.17	-	29.99
30.05	-	29.85
29.91	-	29.81
30.01	-	29.9
30.07	-	29.99
30.1	-	30
30.09	-	30
30.09	-	30
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
