Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
Max	Avg	Min
51	44	37
67	57	47
62	53	44
61	50	39
61	53	45
56	44	32
57	45	32
66	51	35
51	47	42
48	40	31
44	37	29
47	38	29
49	36	22
49	44	38
49	41	33
48	40	32
54	50	45
40	36	32
40	35	30
41	34	26
37	33	29
40	36	31
40	30	20
48	42	36
46	43	39
46	38	29
46	36	25
46	42	37
Max	Avg	Min
47	42	39
55	49	42
53	49	43
53	45	39
49	45	39
47	39	32
48	38	32
51	42	35
47	42	37
40	37	30
41	35	30
33	28	22
32	26	21
42	38	34
41	37	33
43	39	33
50	44	39
39	34	31
32	29	25
34	31	26
34	31	28
33	31	23
32	26	20
38	36	33
44	38	34
36	32	28
36	30	26
42	39	34
Max	Avg	Min
100	-	74
93	-	63
100	-	72
100	-	72
100	-	51
100	-	71
100	-	66
100	-	44
100	-	66
100	-	71
100	-	76
100	-	45
100	-	39
92	-	66
100	-	66
100	-	80
100	-	77
100	-	85
100	-	59
100	-	70
100	-	75
100	-	75
100	-	64
100	-	56
100	-	89
100	-	58
100	-	65
92	-	79
Max	Avg	Min
9	-	0
16	-	4
9	-	0
12	-	0
10	-	0
7	-	0
7	-	0
13	-	0
17	-	0
16	-	0
13	-	0
20	-	0
7	-	0
23	-	0
10	-	0
16	-	0
28	-	7
21	-	4
15	-	0
17	-	4
16	-	0
18	-	0
15	-	0
24	-	6
24	-	4
12	-	0
13	-	5
24	-	7
Max	Avg	Min
30.28	-	30.19
30.39	-	30.28
30.44	-	30.33
30.33	-	30.23
30.3	-	30.22
30.43	-	30.3
30.45	-	30.33
30.33	-	30.22
30.31	-	30.25
30.4	-	30.15
30.09	-	29.91
30.33	-	30.07
30.34	-	30.12
30.39	-	30.09
30.53	-	30.4
30.48	-	30.29
30.27	-	29.89
29.9	-	29.81
30.28	-	29.9
30.27	-	30.13
30.34	-	30.18
30.46	-	30.06
30.55	-	30.31
30.35	-	30.15
30.3	-	29.99
30.31	-	30.03
30.31	-	30.14
30.12	-	29.63
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.02	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.01	-
-	0.00	-
-	0.06	-
-	0.00	-
-	0.00	-
-	0.24	-
-	0.00	-
-	0.00	-
-	0.14	-
-	0.34	-
-	0.00	-
-	0.00	-
-	0.01	-
-	0.24	-
-	0.00	-
-	0.26	-
-	0.78	-
-	0.06	-
-	0.00	-
-	0.10	-
