Jan
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
39	34	29
41	35	28
43	38	32
42	38	34
54	47	39
50	42	33
48	41	33
44	42	39
51	45	38
49	44	39
55	51	47
54	48	41
51	43	34
48	41	34
47	39	31
54	46	37
66	52	38
49	45	41
47	43	39
49	44	39
49	45	41
49	44	38
49	44	39
49	46	42
45	40	35
47	42	36
52	47	42
62	55	48
58	51	44
50	46	41
46	39	32
Max	Avg	Min
35	32	29
35	31	28
33	31	30
40	36	32
50	42	39
45	38	33
44	40	34
43	41	39
46	42	38
48	43	40
52	49	47
49	46	41
47	39	33
45	40	34
47	38	31
47	43	37
52	44	39
48	43	38
42	40	38
42	39	37
45	40	34
44	42	38
46	42	37
46	42	35
41	38	34
39	37	36
51	47	38
52	49	45
50	45	42
45	41	37
41	36	32
Max	Avg	Min
100	-	85
100	-	73
96	-	70
100	-	70
100	-	86
100	-	61
100	-	86
100	-	92
100	-	80
100	-	86
100	-	83
100	-	71
100	-	86
100	-	93
100	-	86
100	-	71
100	-	52
100	-	86
100	-	82
100	-	71
100	-	56
100	-	80
100	-	86
100	-	86
100	-	89
100	-	71
100	-	89
100	-	64
100	-	61
100	-	66
100	-	76
Max	Avg	Min
9	-	0
12	-	0
12	-	0
16	-	0
18	-	0
9	-	0
9	-	0
12	-	0
15	-	0
15	-	0
32	-	6
17	-	0
8	-	0
9	-	0
8	-	0
12	-	0
29	-	4
22	-	0
20	-	6
20	-	5
29	-	4
14	-	0
20	-	4
25	-	4
32	-	4
23	-	5
24	-	5
13	-	0
22	-	0
16	-	0
9	-	0
Max	Avg	Min
30.39	-	30.26
30.36	-	30.24
30.23	-	30.04
30.06	-	29.99
30.25	-	29.97
30.35	-	30.23
30.21	-	29.96
29.95	-	29.62
29.96	-	29.6
30.11	-	29.96
30.23	-	29.9
30.43	-	30.25
30.43	-	30.19
30.18	-	30.07
30.08	-	29.91
30.29	-	30.07
30.14	-	29.8
29.93	-	29.89
30.13	-	29.93
30.21	-	30.12
30.19	-	29.94
30.37	-	30.2
30.24	-	29.86
29.86	-	29.67
30.14	-	29.67
30.28	-	30.05
30.4	-	30.03
30.43	-	30.29
30.3	-	30.03
30.29	-	30.17
30.3	-	30.24
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.06	-
-	0.30	-
-	0.05	-
-	0.00	-
-	0.05	-
-	0.49	-
-	0.15	-
-	0.77	-
-	0.01	-
-	0.00	-
-	0.00	-
-	0.01	-
-	0.02	-
-	0.03	-
-	0.45	-
-	0.13	-
-	0.01	-
-	0.32	-
-	0.13	-
-	0.25	-
-	0.19	-
-	0.30	-
-	0.03	-
-	0.12	-
-	0.04	-
-	0.00	-
-	0.05	-
-	0.00	-
