Jul
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
82	69	55
72	60	47
76	57	38
72	65	57
87	69	51
78	65	52
82	63	43
83	65	46
71	60	49
81	64	46
87	69	51
98	77	56
95	75	55
94	73	51
97	75	53
97	76	54
92	74	55
88	69	50
77	64	51
80	63	45
83	65	46
92	69	46
94	73	51
96	74	51
97	75	52
97	76	54
92	71	49
91	71	51
97	74	50
88	72	56
93	74	54
Max	Avg	Min
55	51	43
48	44	41
50	43	39
56	53	50
56	52	41
55	53	50
55	48	40
56	52	45
54	53	49
54	51	46
56	53	50
56	53	45
59	53	49
54	50	44
59	54	48
57	53	50
56	53	50
58	55	51
53	51	48
49	45	39
51	45	37
53	48	38
54	51	45
57	50	43
55	49	36
56	50	40
58	51	45
57	51	45
61	55	40
63	57	53
58	55	51
Max	Avg	Min
93	-	31
93	-	35
100	-	29
80	-	53
100	-	27
100	-	43
100	-	23
96	-	35
93	-	53
100	-	36
100	-	28
86	-	17
93	-	24
89	-	20
89	-	20
89	-	22
86	-	27
100	-	31
96	-	38
93	-	25
86	-	20
96	-	16
89	-	20
100	-	16
83	-	12
83	-	14
89	-	21
100	-	21
100	-	14
87	-	36
93	-	26
Max	Avg	Min
20	-	0
17	-	0
20	-	0
14	-	0
22	-	0
22	-	5
13	-	0
20	-	0
13	-	0
21	-	0
21	-	4
17	-	0
14	-	0
15	-	0
14	-	0
14	-	0
14	-	0
18	-	0
18	-	0
23	-	7
17	-	0
13	-	0
13	-	0
16	-	0
15	-	0
15	-	0
15	-	0
12	-	0
15	-	0
15	-	4
16	-	0
Max	Avg	Min
30.24	-	30.16
30.3	-	30.18
30.23	-	29.88
30	-	29.85
30.17	-	30.01
30.23	-	30.15
30.24	-	30.07
30.13	-	30.04
30.22	-	30.13
30.27	-	30.14
30.15	-	29.94
30.01	-	29.89
30.08	-	29.98
30.12	-	29.96
29.99	-	29.89
30.03	-	29.92
30.11	-	30
30.22	-	30.07
30.21	-	30.1
30.19	-	30.04
30.16	-	30.08
30.15	-	30.03
30.12	-	30
30.11	-	30
30.14	-	30.04
30.12	-	29.99
30.05	-	29.94
30.08	-	29.96
30.06	-	29.93
30.07	-	29.96
30.08	-	29.95
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
