Jan
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
39	36	33
37	34	30
36	30	24
34	28	21
34	23	12
39	26	12
28	26	24
37	31	25
40	38	35
40	37	34
46	38	29
34	30	26
30	27	24
32	27	21
35	28	21
40	32	24
47	37	27
55	52	48
52	47	42
53	47	40
47	44	40
50	45	39
52	42	31
51	38	24
47	42	36
54	47	39
41	35	28
39	37	34
53	43	32
46	40	33
46	43	40
Max	Avg	Min
36	33	31
35	32	25
25	22	18
26	21	12
18	13	9
24	18	10
26	23	21
35	30	26
36	34	33
37	34	31
37	33	27
31	28	23
27	25	21
24	21	18
26	23	18
30	26	23
48	38	27
50	46	42
43	41	39
43	40	39
45	40	37
40	37	33
40	34	30
37	33	24
41	37	34
41	38	35
39	34	28
37	36	34
43	36	32
42	38	34
43	40	34
Max	Avg	Min
92	-	80
96	-	82
85	-	55
88	-	48
88	-	38
88	-	42
92	-	74
96	-	87
92	-	79
92	-	79
100	-	70
92	-	82
92	-	84
92	-	63
92	-	61
100	-	64
96	-	85
89	-	77
92	-	71
96	-	63
93	-	82
100	-	65
96	-	63
100	-	56
100	-	76
100	-	54
100	-	92
100	-	92
100	-	63
100	-	89
100	-	89
Max	Avg	Min
16	-	0
12	-	0
22	-	0
22	-	0
12	-	0
8	-	0
14	-	0
14	-	0
22	-	4
16	-	0
15	-	0
16	-	0
12	-	0
13	-	0
9	-	0
7	-	0
13	-	0
33	-	10
21	-	0
24	-	0
25	-	0
26	-	0
13	-	0
7	-	0
7	-	0
9	-	0
10	-	0
6	-	0
10	-	0
8	-	0
10	-	0
Max	Avg	Min
29.96	-	29.67
30.04	-	29.72
30.15	-	29.87
30.22	-	29.81
30.29	-	30.2
30.18	-	29.99
29.98	-	29.7
29.92	-	29.47
29.78	-	29.68
29.68	-	29.31
30.01	-	29.44
30.33	-	30.01
30.44	-	30.32
30.42	-	30.28
30.35	-	30.29
30.31	-	30.05
30.05	-	29.62
29.59	-	29.32
29.68	-	29.32
29.28	-	29.07
29.61	-	29.23
29.6	-	29.38
30	-	29.6
30.23	-	30.01
30.38	-	30.24
30.6	-	30.39
30.68	-	30.58
30.67	-	30.5
30.54	-	30.43
30.43	-	30.2
30.22	-	30.12
Max	Avg	Min
-	0.04	-
-	0.04	-
-	0.00	-
-	0.08	-
-	0.00	-
-	0.00	-
-	0.39	-
-	0.63	-
-	0.43	-
-	0.70	-
-	0.08	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.07	-
-	0.32	-
-	0.04	-
-	0.09	-
-	0.14	-
-	0.17	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.05	-
