Jul
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
85	67	48
89	71	52
82	67	51
79	64	48
81	65	49
84	67	49
77	65	53
72	65	58
74	65	55
68	62	56
78	64	49
74	65	55
83	67	51
86	69	51
80	64	48
78	66	54
71	61	51
74	68	61
77	66	54
86	67	47
79	67	55
81	69	57
81	65	49
88	70	51
90	73	55
89	72	54
92	73	54
95	74	53
98	77	55
86	70	53
82	65	47
Max	Avg	Min
54	49	39
57	54	48
51	49	46
50	47	44
50	47	42
52	49	45
57	53	50
60	56	53
55	51	43
58	53	50
54	51	48
54	52	50
53	51	46
54	50	45
52	48	45
54	52	50
54	53	47
54	53	51
53	51	49
57	50	42
57	54	51
53	51	48
52	50	47
57	52	48
59	56	53
57	53	47
60	55	52
60	56	51
58	54	49
53	49	40
52	47	44
Max	Avg	Min
89	-	20
86	-	31
83	-	30
86	-	32
86	-	28
89	-	26
90	-	46
93	-	61
93	-	33
80	-	63
93	-	36
86	-	46
89	-	28
89	-	25
86	-	32
83	-	41
86	-	53
78	-	46
77	-	36
93	-	23
86	-	48
75	-	33
89	-	33
89	-	26
93	-	36
86	-	24
86	-	26
93	-	24
93	-	20
86	-	22
89	-	28
Max	Avg	Min
20	-	0
16	-	0
21	-	0
17	-	6
15	-	0
13	-	0
16	-	0
20	-	4
22	-	4
22	-	7
13	-	0
14	-	5
18	-	0
20	-	4
20	-	4
16	-	0
10	-	0
17	-	4
14	-	0
13	-	0
22	-	0
17	-	0
20	-	4
16	-	4
14	-	0
20	-	0
21	-	4
23	-	0
18	-	0
18	-	0
21	-	0
Max	Avg	Min
30.12	-	29.99
30.05	-	29.97
30.17	-	30.06
30.19	-	30.09
30.15	-	30.02
30.07	-	29.95
30.01	-	29.94
29.99	-	29.94
30.06	-	29.99
30.17	-	30.03
30.16	-	29.95
30.16	-	29.98
30.2	-	30.12
30.22	-	30.1
30.22	-	30.09
30.13	-	30
30.01	-	29.95
30.1	-	29.95
30.13	-	30.08
30.14	-	30.01
30.22	-	30.02
30.3	-	30.23
30.27	-	30.11
30.12	-	29.94
30.11	-	30.01
30.16	-	30.01
30.1	-	30
30.08	-	29.92
29.98	-	29.85
30.01	-	29.92
30.09	-	29.98
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.08	-
-	0.06	-
-	0.00	-
-	0.11	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
