Sep
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max	Avg	Min
74	63	51
75	63	50
75	60	44
75	60	45
76	59	42
71	62	52
77	67	56
80	64	47
82	65	48
90	69	47
77	62	47
80	61	42
83	62	41
80	64	47
83	62	40
87	65	43
74	64	53
74	61	47
72	59	46
73	60	47
72	57	42
71	59	46
62	54	45
72	62	51
84	64	44
91	69	47
78	65	51
76	61	46
74	58	42
67	54	41
Max	Avg	Min
53	50	46
55	51	43
53	46	41
48	45	42
47	43	36
61	53	43
57	54	50
52	47	36
49	45	41
54	47	41
55	47	38
47	38	28
37	32	27
47	44	40
46	42	36
53	44	39
60	51	41
62	59	49
52	48	44
49	45	39
47	45	39
49	46	41
54	49	44
54	51	43
50	46	41
55	51	45
55	51	46
48	44	40
47	43	37
46	43	37
Max	Avg	Min
89	-	41
93	-	41
86	-	33
93	-	33
89	-	27
90	-	61
93	-	41
93	-	21
86	-	26
83	-	22
87	-	25
92	-	18
61	-	14
77	-	27
96	-	20
83	-	19
81	-	34
93	-	53
100	-	44
89	-	31
89	-	38
93	-	37
93	-	64
93	-	41
89	-	24
86	-	29
89	-	40
86	-	31
89	-	27
89	-	43
Max	Avg	Min
14	-	0
17	-	0
24	-	0
15	-	0
12	-	0
15	-	0
12	-	0
20	-	0
24	-	6
14	-	0
18	-	0
28	-	0
20	-	0
15	-	4
15	-	0
9	-	0
17	-	0
15	-	0
15	-	0
14	-	0
16	-	0
20	-	0
20	-	4
13	-	0
20	-	0
14	-	0
21	-	0
16	-	0
14	-	0
18	-	0
Max	Avg	Min
30.1	-	30
30.09	-	30.02
30.06	-	29.95
30.04	-	29.96
30.08	-	29.96
30.12	-	29.96
30.18	-	30.11
30.26	-	30.19
30.27	-	30.1
30.14	-	30.01
30.19	-	30.06
30.12	-	29.94
29.98	-	29.86
30.14	-	29.98
30.18	-	30.06
30.1	-	29.97
30.07	-	30.02
30.14	-	30.04
30.19	-	30.13
30.12	-	30.04
30.06	-	29.93
30.15	-	29.99
30.27	-	30.14
30.38	-	30.28
30.38	-	30.13
30.12	-	29.97
30.16	-	30.01
30.07	-	29.96
30.09	-	30
30.07	-	30.03
Max	Avg	Min
-	0.00	-
-	0.03	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.70	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.03	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.01	-
-	0.01	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
