Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max	Avg	Min
56	48	40
59	51	43
56	45	34
64	53	42
64	54	44
66	57	47
54	49	43
53	45	37
56	47	37
56	49	41
50	45	39
59	36	14
54	48	42
55	47	39
60	47	33
56	48	39
60	54	47
65	57	48
59	52	45
60	51	42
68	52	35
64	56	48
57	52	46
58	53	47
55	51	46
57	53	48
56	49	41
60	47	34
71	53	34
65	57	49
Max	Avg	Min
52	47	40
47	40	35
40	37	33
50	42	38
49	41	34
52	48	38
48	43	39
43	39	35
44	37	33
44	40	37
46	41	23
49	43	14
43	41	39
42	40	37
43	37	32
50	42	34
53	49	46
50	46	41
48	45	43
49	44	39
53	42	36
50	47	40
49	46	45
53	47	43
53	48	44
52	47	43
46	43	40
43	39	34
45	39	27
50	46	40
Max	Avg	Min
100	-	71
100	-	43
100	-	47
89	-	43
92	-	31
93	-	52
93	-	63
100	-	50
100	-	43
93	-	54
100	-	82
100	-	72
89	-	63
96	-	59
100	-	44
92	-	64
100	-	72
100	-	44
93	-	57
100	-	57
100	-	52
100	-	56
93	-	67
93	-	83
93	-	77
100	-	66
96	-	59
100	-	47
100	-	33
89	-	48
Max	Avg	Min
9	-	0
16	-	0
13	-	0
10	-	0
12	-	4
16	-	0
36	-	5
24	-	5
30	-	5
22	-	4
13	-	0
30	-	0
26	-	0
20	-	0
16	-	0
17	-	0
15	-	0
17	-	4
24	-	0
17	-	0
13	-	0
28	-	0
21	-	0
25	-	5
22	-	4
18	-	0
21	-	0
15	-	0
16	-	0
12	-	4
Max	Avg	Min
30.32	-	30.25
30.41	-	30.27
30.32	-	30.06
30.06	-	29.93
29.97	-	29.78
29.77	-	29.25
29.82	-	29.21
30.18	-	29.83
30.18	-	29.96
30.22	-	30.06
30.12	-	29.66
29.79	-	29.66
30.12	-	29.79
30.32	-	30.12
30.32	-	29.99
29.97	-	29.74
29.91	-	29.87
30.08	-	29.91
30.14	-	30.04
30.43	-	30.15
30.43	-	29.87
30.02	-	29.77
30	-	29.86
30.05	-	29.7
30.05	-	29.89
30.17	-	29.9
30.27	-	30.17
30.39	-	30.29
30.33	-	30.2
30.38	-	30.25
Max	Avg	Min
-	0.01	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.05	-
-	0.28	-
-	0.04	-
-	0.01	-
-	0.01	-
-	0.22	-
-	0.02	-
-	0.01	-
-	0.06	-
-	0.00	-
-	0.00	-
-	0.63	-
-	0.09	-
-	0.08	-
-	0.21	-
-	0.00	-
-	0.02	-
-	0.07	-
-	0.34	-
-	0.04	-
-	0.45	-
-	0.11	-
-	0.00	-
-	0.00	-
-	0.01	-
