Sep
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max	Avg	Min
78	64	49
84	67	49
82	66	50
82	64	45
89	69	48
84	69	53
85	64	43
79	67	55
80	64	47
76	66	56
70	59	47
70	59	48
70	57	44
74	58	42
69	57	45
67	61	54
71	57	42
73	55	36
75	58	41
75	59	43
77	60	42
72	65	57
71	54	37
73	57	41
81	62	42
85	63	41
87	65	43
88	66	43
73	63	53
74	63	51
Max	Avg	Min
48	46	44
49	45	39
52	48	44
47	42	38
54	45	39
54	49	46
53	47	41
55	52	47
51	47	45
57	50	43
52	49	42
55	50	47
52	48	43
50	45	41
49	47	44
55	49	44
49	44	41
46	43	34
50	44	38
49	44	40
52	46	37
56	52	44
49	41	35
45	41	39
46	41	35
45	40	37
48	43	34
52	46	40
52	50	48
54	51	48
Max	Avg	Min
86	-	33
86	-	22
77	-	28
74	-	23
80	-	21
83	-	32
86	-	27
93	-	32
86	-	32
87	-	33
93	-	47
93	-	49
93	-	51
100	-	35
100	-	42
83	-	56
93	-	37
93	-	33
92	-	33
93	-	27
86	-	38
93	-	44
100	-	28
89	-	34
96	-	23
82	-	19
76	-	22
83	-	26
83	-	47
93	-	41
Max	Avg	Min
23	-	0
22	-	4
24	-	4
21	-	0
10	-	0
17	-	5
28	-	0
14	-	0
15	-	0
17	-	0
16	-	0
23	-	0
20	-	0
14	-	0
14	-	0
21	-	0
18	-	0
15	-	0
15	-	0
15	-	0
15	-	0
20	-	0
23	-	0
23	-	0
22	-	0
17	-	0
12	-	0
15	-	0
16	-	0
14	-	0
Max	Avg	Min
30.15	-	30.03
30.1	-	29.96
30.12	-	30.01
30.09	-	29.89
29.99	-	29.9
30.14	-	30.01
30.15	-	30.01
30.15	-	30.03
30.06	-	29.96
30.09	-	30.01
30.05	-	29.97
30	-	29.95
30.04	-	29.97
30.03	-	29.93
29.94	-	29.9
30.09	-	29.93
30.11	-	30.03
30.12	-	30.02
30.15	-	30.06
30.19	-	30.06
30.06	-	29.94
30.12	-	30
30.21	-	30.12
30.23	-	30.12
30.17	-	30.06
30.16	-	30.01
30.03	-	29.84
29.86	-	29.69
29.83	-	29.77
29.89	-	29.84
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.02	-
-	0.00	-
-	0.18	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.05	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.01	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.01	-
-	0.01	-
