Dec
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
49	43	37
44	43	41
49	42	34
44	37	29
39	35	31
53	38	23
46	34	21
42	32	22
38	30	22
39	30	21
39	32	25
37	29	20
42	33	23
43	32	21
40	33	26
45	36	26
47	39	31
55	46	36
50	45	40
45	40	34
35	33	30
41	37	33
43	40	36
34	32	30
50	42	33
35	33	31
52	43	34
47	40	32
56	53	49
51	42	32
39	35	30
Max	Avg	Min
45	43	37
43	41	39
43	38	33
40	34	29
37	33	27
41	30	25
36	28	22
33	27	21
32	26	21
33	25	21
31	26	21
32	25	20
33	27	23
35	26	21
38	32	26
40	31	26
38	35	31
46	41	36
46	42	36
41	35	29
34	32	30
40	36	34
42	37	30
35	31	28
43	38	33
35	33	31
49	41	34
49	40	33
52	49	44
46	38	32
36	33	30
Max	Avg	Min
100	-	86
100	-	89
100	-	82
100	-	83
100	-	92
100	-	63
100	-	65
100	-	70
100	-	82
100	-	76
92	-	76
100	-	82
100	-	70
100	-	70
100	-	92
100	-	83
100	-	71
100	-	66
100	-	80
100	-	83
100	-	92
100	-	86
100	-	89
100	-	82
100	-	80
100	-	96
100	-	83
100	-	86
96	-	83
100	-	74
100	-	85
Max	Avg	Min
10	-	0
15	-	0
14	-	4
12	-	0
15	-	0
14	-	0
10	-	0
7	-	0
9	-	0
8	-	0
8	-	0
6	-	0
13	-	0
12	-	0
12	-	0
8	-	0
9	-	4
14	-	0
24	-	5
17	-	0
8	-	0
8	-	0
16	-	0
13	-	0
13	-	0
13	-	0
14	-	0
15	-	5
21	-	6
12	-	0
10	-	0
Max	Avg	Min
30.21	-	30.08
30.08	-	29.9
30.51	-	29.95
30.57	-	30.5
30.54	-	30.43
30.49	-	30.43
30.55	-	30.46
30.55	-	30.48
30.5	-	30.43
30.48	-	30.32
30.49	-	30.37
30.52	-	30.38
30.41	-	30.31
30.34	-	30.28
30.38	-	30.27
30.43	-	30.32
30.34	-	30.19
30.27	-	30.07
30.04	-	29.73
30.43	-	29.99
30.48	-	30.3
30.32	-	30.27
30.37	-	30.29
30.33	-	30.15
30.32	-	30.2
30.33	-	30.27
30.35	-	30.27
30.32	-	30.11
30.16	-	29.96
30.3	-	30.16
30.27	-	30.14
Max	Avg	Min
-	0.00	-
-	0.35	-
-	0.12	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.64	-
-	0.15	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.22	-
-	0.05	-
-	0.00	-
-	0.03	-
-	0.00	-
-	0.25	-
-	0.00	-
-	0.00	-
