Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
Max	Avg	Min
42	38	34
45	40	34
41	36	31
52	50	48
50	48	45
44	40	36
43	40	36
53	47	41
60	57	53
52	48	43
51	41	30
47	38	29
51	40	28
51	41	30
61	54	46
55	52	48
53	47	41
53	49	45
54	48	42
52	47	42
46	44	42
47	41	35
46	39	32
41	35	28
48	39	30
42	38	33
44	39	33
50	43	36
Max	Avg	Min
32	27	25
35	27	24
46	35	25
49	47	45
47	45	41
39	37	35
43	39	35
54	45	41
55	50	41
43	40	36
40	34	29
40	34	29
40	34	28
46	36	29
55	51	46
52	47	44
46	44	41
47	44	41
44	41	38
47	44	42
44	41	36
39	37	33
37	34	30
37	34	30
37	34	29
39	35	33
39	36	32
41	38	35
Max	Avg	Min
89	-	57
70	-	53
100	-	69
93	-	80
100	-	93
100	-	82
100	-	89
100	-	93
100	-	72
92	-	59
100	-	61
100	-	71
100	-	56
100	-	71
100	-	77
96	-	86
100	-	77
100	-	71
100	-	64
100	-	77
100	-	86
100	-	70
100	-	58
100	-	79
100	-	65
100	-	92
100	-	76
100	-	71
Max	Avg	Min
22	-	8
20	-	6
18	-	0
20	-	9
17	-	4
20	-	6
15	-	0
13	-	0
28	-	9
24	-	0
14	-	0
12	-	0
7	-	0
9	-	0
21	-	0
28	-	0
21	-	0
21	-	0
23	-	4
31	-	0
16	-	0
18	-	0
15	-	0
20	-	4
10	-	0
20	-	5
17	-	4
17	-	6
Max	Avg	Min
30.11	-	29.97
30.01	-	29.79
29.79	-	29.45
29.82	-	29.68
29.79	-	29.23
29.78	-	29.44
29.94	-	29.46
29.94	-	29.6
29.8	-	29.41
30.32	-	29.79
30.53	-	30.34
30.47	-	30.27
30.26	-	30.15
30.17	-	29.88
29.85	-	29.51
29.81	-	29.45
29.78	-	29.39
29.52	-	29.4
29.65	-	29.43
29.73	-	29.37
30.2	-	29.65
30.24	-	30.19
30.32	-	30.23
30.27	-	30.14
30.27	-	30.05
30.02	-	29.75
29.95	-	29.83
30.43	-	29.96
Max	Avg	Min
-	0.00	-
-	0.06	-
-	0.68	-
-	0.30	-
-	1.14	-
-	0.26	-
-	0.23	-
-	0.28	-
-	0.68	-
-	0.16	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.23	-
-	1.69	-
-	0.01	-
-	0.22	-
-	0.03	-
-	0.32	-
-	1.01	-
-	0.03	-
-	0.04	-
-	0.02	-
-	0.00	-
-	0.34	-
-	0.01	-
-	0.01	-
