Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
46	40	34
45	35	25
45	37	28
43	33	23
37	32	26
36	34	32
47	40	32
45	38	30
48	41	34
53	41	29
63	45	26
51	45	39
55	45	35
59	45	30
62	46	29
63	49	34
66	50	33
77	56	35
75	59	42
68	56	44
61	51	40
54	45	36
57	48	39
63	48	33
50	46	41
59	46	33
60	50	40
62	50	37
63	53	42
64	50	36
69	53	37
Max	Avg	Min
37	32	26
34	29	23
28	23	17
29	21	15
30	23	18
33	30	26
38	33	30
36	33	27
38	34	29
34	29	25
35	30	24
40	37	33
39	36	32
42	35	28
44	35	28
45	39	32
46	38	30
45	37	30
49	40	32
43	41	38
46	44	40
48	42	34
45	41	38
45	37	32
46	41	38
44	37	31
46	41	36
45	40	35
45	42	39
47	41	34
50	42	36
Max	Avg	Min
92	-	70
92	-	65
75	-	49
74	-	51
69	-	56
89	-	75
96	-	70
100	-	70
92	-	65
85	-	46
92	-	30
89	-	52
92	-	41
100	-	43
92	-	43
96	-	51
100	-	44
82	-	29
70	-	38
82	-	37
89	-	51
93	-	77
96	-	66
100	-	39
89	-	76
100	-	43
92	-	53
92	-	42
96	-	43
92	-	52
92	-	42
Max	Avg	Min
10	-	0
17	-	0
21	-	8
13	-	0
14	-	0
10	-	0
17	-	0
17	-	0
23	-	0
23	-	4
15	-	0
22	-	6
10	-	0
7	-	0
10	-	0
13	-	0
16	-	0
17	-	0
17	-	4
14	-	0
10	-	0
14	-	0
18	-	0
12	-	0
15	-	0
8	-	0
22	-	0
16	-	0
14	-	0
10	-	0
12	-	0
Max	Avg	Min
30.11	-	30.06
30.13	-	29.98
30.19	-	30.1
30.25	-	30.13
30.13	-	29.72
29.93	-	29.59
30.07	-	29.94
30.06	-	29.98
30.03	-	29.95
30.23	-	30.04
30.23	-	29.95
30.19	-	29.86
30.4	-	30.2
30.42	-	30.33
30.37	-	30.21
30.29	-	30.21
30.26	-	30.09
30.12	-	29.9
29.99	-	29.79
30.04	-	29.81
30.12	-	30.04
30.13	-	29.94
30.25	-	30.13
30.24	-	30.02
30.08	-	29.86
30.09	-	29.88
30	-	29.76
30.22	-	30.01
30.42	-	30.23
30.42	-	30.25
30.26	-	30.07
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.24	-
-	0.10	-
-	0.00	-
-	0.01	-
-	0.00	-
-	0.01	-
-	0.18	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.22	-
-	0.06	-
-	0.00	-
-	0.19	-
-	0.00	-
-	0.04	-
-	0.01	-
-	0.01	-
-	0.00	-
-	0.00	-
