Jun
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max	Avg	Min
73	55	37
79	60	40
75	61	46
70	58	46
73	56	38
77	58	39
71	61	50
71	59	47
59	53	47
60	54	47
70	60	50
81	61	40
64	57	49
69	59	48
70	57	43
74	62	50
87	68	49
84	68	52
88	69	49
78	67	56
76	66	56
78	66	53
77	66	54
90	70	49
74	64	54
76	59	42
78	63	47
76	61	46
83	64	45
84	66	47
Max	Avg	Min
49	43	37
55	49	41
50	48	44
48	46	42
46	42	38
52	47	41
48	46	45
56	51	45
52	48	44
52	49	44
54	50	43
54	46	35
55	48	40
50	47	44
52	48	44
53	51	48
61	53	46
60	56	53
60	54	49
58	55	53
58	54	52
56	54	52
54	53	51
57	54	49
53	50	46
49	45	41
50	47	43
48	46	44
0	0	0
54	54	54
Max	Avg	Min
100	-	35
100	-	35
100	-	35
100	-	37
100	-	31
100	-	41
93	-	40
93	-	41
100	-	66
100	-	57
100	-	45
96	-	36
83	-	60
100	-	45
100	-	45
100	-	46
96	-	27
100	-	39
100	-	26
100	-	48
100	-	49
100	-	43
100	-	43
100	-	29
86	-	47
100	-	31
93	-	33
93	-	35
93	-	30
100	-	27
Max	Avg	Min
9	-	0
14	-	0
17	-	0
14	-	0
13	-	0
17	-	0
15	-	0
18	-	0
23	-	0
15	-	0
16	-	4
12	-	0
16	-	0
16	-	0
16	-	0
24	-	0
29	-	0
13	-	0
16	-	0
24	-	8
12	-	0
12	-	0
18	-	0
15	-	0
15	-	0
20	-	0
15	-	0
14	-	0
16	-	0
16	-	0
Max	Avg	Min
30.24	-	30.14
30.25	-	30.08
30.1	-	30.01
30.13	-	30.01
30.06	-	29.99
30	-	29.86
30.12	-	29.97
30.12	-	30
30.17	-	30.01
30.17	-	30.05
30.2	-	30.06
30.11	-	29.92
30.07	-	29.98
30.11	-	29.98
29.99	-	29.91
29.95	-	29.86
29.94	-	29.82
30.04	-	29.95
30.09	-	29.94
30.09	-	29.94
30.16	-	30.09
30.22	-	30.1
30.18	-	30.07
30.06	-	29.78
30.18	-	30.03
30.2	-	30.04
30.08	-	29.98
30.15	-	30.08
0	-	0
30.19	-	30.19
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.12	-
-	0.31	-
-	0.10	-
-	0.05	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
