Oct
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
67	58	49
60	53	46
59	53	46
64	58	51
62	57	52
64	55	46
68	62	56
72	64	55
77	67	56
62	53	43
59	49	39
70	59	48
62	57	52
63	58	53
61	57	52
55	53	50
63	57	50
58	51	43
58	48	38
62	59	55
62	56	50
61	52	42
61	57	52
56	52	47
64	55	45
69	61	52
57	52	47
64	56	47
65	57	48
56	51	46
63	55	47
Max	Avg	Min
48	44	40
50	46	43
50	46	43
52	50	47
53	50	48
53	49	45
58	54	49
58	55	53
57	55	52
58	49	42
49	43	37
52	48	40
57	52	46
53	51	48
53	50	47
49	47	44
52	48	45
51	47	43
52	43	37
58	54	51
56	52	43
49	45	41
51	48	45
50	47	45
51	47	43
57	53	50
52	49	45
50	47	44
50	48	46
51	47	45
50	47	43
Max	Avg	Min
80	-	37
96	-	51
93	-	57
89	-	56
86	-	67
93	-	56
93	-	72
100	-	57
86	-	50
100	-	72
96	-	67
96	-	48
96	-	77
93	-	72
93	-	77
89	-	72
93	-	64
93	-	72
100	-	62
93	-	80
93	-	51
96	-	55
96	-	64
100	-	71
86	-	44
96	-	63
93	-	72
93	-	60
93	-	52
93	-	66
89	-	51
Max	Avg	Min
24	-	5
14	-	0
16	-	4
21	-	4
20	-	7
14	-	0
17	-	4
12	-	0
17	-	0
16	-	0
13	-	0
9	-	0
31	-	5
29	-	0
32	-	5
23	-	10
22	-	0
18	-	4
10	-	0
16	-	0
12	-	0
13	-	0
12	-	0
18	-	0
10	-	0
18	-	0
20	-	0
14	-	0
13	-	0
26	-	0
23	-	0
Max	Avg	Min
30.06	-	29.97
30	-	29.92
29.99	-	29.9
30	-	29.94
30.18	-	29.91
30.22	-	30.05
30.1	-	30.02
30.04	-	29.95
30.03	-	29.93
30.05	-	29.97
30.16	-	30.04
30.12	-	29.91
29.92	-	29.34
29.71	-	29.51
29.7	-	29.31
29.57	-	29.42
29.97	-	29.54
30.33	-	29.97
30.34	-	30.19
30.19	-	30.1
30.08	-	30.01
30.03	-	29.83
29.91	-	29.69
29.83	-	29.56
29.99	-	29.85
29.94	-	29.76
29.94	-	29.89
29.95	-	29.8
29.95	-	29.86
29.85	-	29.57
29.93	-	29.71
Max	Avg	Min
-	0.06	-
-	0.35	-
-	0.00	-
-	0.17	-
-	0.31	-
-	0.13	-
-	0.10	-
-	0.00	-
-	0.00	-
-	0.05	-
-	0.00	-
-	0.01	-
-	1.45	-
-	0.58	-
-	0.56	-
-	1.25	-
-	1.38	-
-	0.64	-
-	0.02	-
-	0.29	-
-	0.13	-
-	0.01	-
-	0.02	-
-	0.12	-
-	0.44	-
-	0.76	-
-	0.62	-
-	0.00	-
-	0.11	-
-	0.31	-
-	0.32	-
